"","gene"
"492","ENSDARG00000055659,gpr161,9,protein_coding"
"493","ENSDARG00000013110,dmtn,10,protein_coding"
"494","ENSDARG00000043746,nrxn3a,17,protein_coding"
"495","ENSDARG00000089362,grn1,19,protein_coding"
"496","ENSDARG00000042725,cebpb,8,protein_coding"
"497","ENSDARG00000032373,rnf145b,21,protein_coding"
"498","ENSDARG00000054688,ITPRIPL2,3,protein_coding"
"499","ENSDARG00000035880,atp6v1c1b,19,protein_coding"
"500","ENSDARG00000041068,got2a,18,protein_coding"
"501","ENSDARG00000055705,f5,9,protein_coding"
"502","ENSDARG00000037928,ddx42,3,protein_coding"
"503","ENSDARG00000052826,runx3,13,protein_coding"
"504","ENSDARG00000040623,fosl2,17,protein_coding"
"505","ENSDARG00000054271,cdkn1bb,25,protein_coding"
"506","ENSDARG00000043019,exoc1,20,protein_coding"
"507","ENSDARG00000037929,strada,3,protein_coding"
"508","ENSDARG00000055092,pora,10,protein_coding"
"509","ENSDARG00000054539,LRP10,7,protein_coding"
"510","ENSDARG00000044194,tcta,6,protein_coding"
"511","ENSDARG00000035532,zgc:110329,5,protein_coding"
"512","ENSDARG00000052429,syngr2a,3,protein_coding"
"513","ENSDARG00000044295,pip5k1ba,10,protein_coding"
"514","ENSDARG00000054032,rab24,21,protein_coding"
"515","ENSDARG00000045493,slc35e3,4,protein_coding"
"516","ENSDARG00000038559,h1f0,24,protein_coding"
"517","ENSDARG00000041799,cx43,20,protein_coding"
"518","ENSDARG00000053155,alg3,2,protein_coding"
"519","ENSDARG00000040881,hnrnph1,14,protein_coding"
"520","ENSDARG00000001879,nav2b,25,protein_coding"
"521","ENSDARG00000039681,samm50l,4,protein_coding"
"522","ENSDARG00000043475,tagapb,20,protein_coding"
"523","ENSDARG00000028148,pax2a,13,protein_coding"
"524","ENSDARG00000035557,gabarapa,5,protein_coding"
"525","ENSDARG00000056065,mov10b.2,8,protein_coding"
"526","ENSDARG00000055753,suv39h1b,8,protein_coding"
"527","ENSDARG00000039222,mpl,6,protein_coding"
"528","ENSDARG00000038822,mrc1b,2,protein_coding"
"529","ENSDARG00000000460,nitr2b,7,protein_coding"
"530","ENSDARG00000041723,TUBB4B,,"
"531","ENSDARG00000057125,pld1b,24,protein_coding"
"532","ENSDARG00000053165,zgc:113377,17,protein_coding"
"533","ENSDARG00000057633,cxcr4a,6,protein_coding"
"534","ENSDARG00000042902,lace1b,20,protein_coding"
"535","ENSDARG00000056795,serpine1,7,protein_coding"
"536","ENSDARG00000042533,gstm.1,8,protein_coding"
"537","ENSDARG00000055186,ccr9a,2,protein_coding"
"538","ENSDARG00000039943,fam46ba,16,protein_coding"
"539","ENSDARG00000044512,ca4c,21,protein_coding"
"540","ENSDARG00000055342,SLC16A13,7,protein_coding"
"541","ENSDARG00000037009,banf1,21,protein_coding"
"542","ENSDARG00000004851,hinfp,5,protein_coding"
"543","ENSDARG00000055560,p2ry8,9,protein_coding"
"544","ENSDARG00000057986,ints8,19,protein_coding"
"545","ENSDARG00000035556,rps6ka3a,5,protein_coding"
"546","ENSDARG00000037884,rab30,15,protein_coding"
"547","ENSDARG00000041592,dcun1d2b,1,protein_coding"
"548","ENSDARG00000045003,vsg1,11,protein_coding"
"549","ENSDARG00000025903,lgals9l1,15,protein_coding"
"550","ENSDARG00000059064,rassf3,4,protein_coding"
"551","ENSDARG00000043126,blf,22,protein_coding"
"552","ENSDARG00000058358,krt8,23,protein_coding"
"553","ENSDARG00000057949,slc43a3b,14,protein_coding"
"554","ENSDARG00000042708,tuba8l,8,protein_coding"
"555","ENSDARG00000040250,si:ch211-132g1.1,1,protein_coding"
"556","ENSDARG00000015563,LPIN3,6,protein_coding"
"557","ENSDARG00000057287,slc25a16,13,protein_coding"
"558","ENSDARG00000056004,sprn,13,protein_coding"
"559","ENSDARG00000042041,tal2,5,protein_coding"
"560","ENSDARG00000055290,mpeg1.1,8,protein_coding"
"561","ENSDARG00000014624,si:dkeyp-94g1.1,2,protein_coding"
"562","ENSDARG00000030694,atp6v1e1b,4,protein_coding"
"563","ENSDARG00000040527,siae,18,protein_coding"
"564","ENSDARG00000033170,sult2st1,12,protein_coding"
"565","ENSDARG00000053938,si:ch211-137j23.8,15,protein_coding"
"566","ENSDARG00000038668,gbp1,2,protein_coding"
"567","ENSDARG00000054155,pcna,10,protein_coding"
"568","ENSDARG00000056985,tpte,10,protein_coding"
"569","ENSDARG00000070545,top1l,11,protein_coding"
"570","ENSDARG00000044038,zbtb2a,17,protein_coding"
"571","ENSDARG00000097011,hbaa1,3,protein_coding"
"572","ENSDARG00000036106,rgs18,2,protein_coding"
"573","ENSDARG00000056717,vars2,19,protein_coding"
"574","ENSDARG00000077126,snrnp70,3,protein_coding"
"575","ENSDARG00000042620,gstr,19,protein_coding"
"576","ENSDARG00000039579,cfd,13,protein_coding"
"577","ENSDARG00000055991,hmbsb,15,protein_coding"
"578","ENSDARG00000056561,asb11,9,protein_coding"
"579","ENSDARG00000056347,rab3aa,2,protein_coding"
"580","ENSDARG00000044155,mafaa,6,protein_coding"
"581","ENSDARG00000077383,anxa11a,13,protein_coding"
"582","ENSDARG00000045989,arf4a,11,protein_coding"
"583","ENSDARG00000051926,plag1,7,protein_coding"
"584","ENSDARG00000035326,nccrp1,5,protein_coding"
"585","ENSDARG00000045636,rbl2,25,protein_coding"
"586","ENSDARG00000040474,snx10b,16,protein_coding"
"587","ENSDARG00000039299,rdh14a,13,protein_coding"
"588","ENSDARG00000043003,pcyt2,22,protein_coding"
"589","ENSDARG00000056245,zgc:162952,5,processed_transcript"
"590","ENSDARG00000044612,c1qb,21,protein_coding"
"591","ENSDARG00000059423,prune2,5,protein_coding"
"592","ENSDARG00000055226,slc7a7,7,protein_coding"
"593","ENSDARG00000040890,fdps,16,protein_coding"
"594","ENSDARG00000053666,myb,23,protein_coding"
"595","ENSDARG00000043468,sytl3,20,protein_coding"
"596","ENSDARG00000039970,cnr2,16,protein_coding"
"597","ENSDARG00000062381,si:ch211-238n5.4,18,protein_coding"
"598","ENSDARG00000033355,PLA2G4C,,"
"599","ENSDARG00000022218,uck1,21,protein_coding"
"600","ENSDARG00000056121,serac1,20,protein_coding"
"601","ENSDARG00000076721,zgc:171686,22,protein_coding"
"602","ENSDARG00000007179,sash1a,20,protein_coding"
"603","ENSDARG00000043457,gapdh,16,protein_coding"
"604","ENSDARG00000037154,hivep3b,16,protein_coding"
"605","ENSDARG00000038909,msl2a,2,protein_coding"
"606","ENSDARG00000058127,hcfc2,4,protein_coding"
"607","ENSDARG00000030094,mal,17,protein_coding"
"608","ENSDARG00000036868,tbpl1,23,protein_coding"
"609","ENSDARG00000043009,fam43a,11,protein_coding"
"610","ENSDARG00000058348,scinlb,2,protein_coding"
"611","ENSDARG00000044183,prkab1a,10,protein_coding"
"612","ENSDARG00000042904,foxo3b,20,protein_coding"
"613","ENSDARG00000052000,cav2,25,protein_coding"
"614","ENSDARG00000045824,zgc:101783,25,protein_coding"
"615","ENSDARG00000026170,hps1,13,protein_coding"
"616","ENSDARG00000044691,ppp1r3b,21,protein_coding"
"617","ENSDARG00000054837,zgc:136870,2,protein_coding"
"618","ENSDARG00000034718,tfpia,9,protein_coding"
"619","ENSDARG00000042751,riok3,24,protein_coding"
"620","ENSDARG00000035913,yars,19,protein_coding"
"621","ENSDARG00000041923,ccl38.6,20,protein_coding"
"622","ENSDARG00000086425,prpf3,16,protein_coding"
"623","ENSDARG00000037409,tmem144a,1,protein_coding"
"624","ENSDARG00000044956,zgc:114123,23,protein_coding"
"625","ENSDARG00000039117,tefa,12,protein_coding"
"626","ENSDARG00000041072,mier1a,6,protein_coding"
"627","ENSDARG00000058853,SASH1,,"
"628","ENSDARG00000057100,zwilch,18,protein_coding"
"629","ENSDARG00000058413,rnaset2l,15,protein_coding"
"630","ENSDARG00000033735,ncf1,5,protein_coding"
"631","ENSDARG00000043361,nck2b,6,protein_coding"
"632","ENSDARG00000055118,mylipb,16,protein_coding"
"633","ENSDARG00000044457,gfi1ab,6,protein_coding"
"634","ENSDARG00000044373,atg4c,6,protein_coding"
"635","ENSDARG00000029722,hmgb2a,1,protein_coding"
"636","ENSDARG00000040224,krcp,7,protein_coding"
"637","ENSDARG00000071876,rell2,14,protein_coding"
"638","ENSDARG00000044254,anxa3b,10,protein_coding"
"639","ENSDARG00000036940,ctssa,19,protein_coding"
"640","ENSDARG00000033089,si:dkeyp-8h9.1,21,processed_transcript"
"641","ENSDARG00000037285,mipa,23,protein_coding"
"642","ENSDARG00000053864,elmsan1b,17,protein_coding"
"643","ENSDARG00000042018,fhl2a,9,protein_coding"
"644","ENSDARG00000059311,dpysl5b,4,protein_coding"
"645","ENSDARG00000056407,irf8,18,protein_coding"
"646","ENSDARG00000054543,samsn1a,15,protein_coding"
"647","ENSDARG00000037421,egr1,14,protein_coding"
"648","ENSDARG00000040080,fli1b,16,protein_coding"
"649","ENSDARG00000077504,si:ch211-103n10.5,8,protein_coding"
"650","ENSDARG00000005414,grapa,3,protein_coding"
"651","ENSDARG00000002971,phc1,16,protein_coding"
"652","ENSDARG00000041040,piga,9,protein_coding"
"653","ENSDARG00000044694,FYB,,"
"654","ENSDARG00000031720,clstn1,23,protein_coding"
"655","ENSDARG00000054250,crbn,6,protein_coding"
"656","ENSDARG00000076539,si:ch211-53m15.1,16,protein_coding"
"657","ENSDARG00000057006,C13H4orf32,13,protein_coding"
"658","ENSDARG00000077069,srgn,13,protein_coding"
"659","ENSDARG00000056976,ifit16,17,protein_coding"
"660","ENSDARG00000043821,klf7b,9,protein_coding"
"661","ENSDARG00000056600,papss2b,12,protein_coding"
"662","ENSDARG00000055540,pfkfb4a,11,protein_coding"
"663","ENSDARG00000043436,si:dkey-5n18.1,20,IG_V_gene"
"664","ENSDARG00000041895,cad,20,protein_coding"
"665","ENSDARG00000059354,glmp,19,protein_coding"
"666","ENSDARG00000092115,eif4a1a,7,protein_coding"
"667","ENSDARG00000045606,alkbh3,25,protein_coding"
"668","ENSDARG00000035715,marcksl1b,19,protein_coding"
"669","ENSDARG00000037646,rgs11,1,protein_coding"
"670","ENSDARG00000036107,txnipa,19,protein_coding"
"671","ENSDARG00000058154,znf385c,3,protein_coding"
"672","ENSDARG00000041685,,15,protein_coding"
"673","ENSDARG00000055857,dopey2,9,protein_coding"
"674","ENSDARG00000075564,fam13a,1,protein_coding"
"675","ENSDARG00000039064,st3gal7,13,protein_coding"
"676","ENSDARG00000057997,tmf1,11,protein_coding"
"677","ENSDARG00000063583,map2k4a,3,protein_coding"
"678","ENSDARG00000045594,si:dkey-14k9.2,4,protein_coding"
"679","ENSDARG00000042341,tmem251,20,protein_coding"
"680","ENSDARG00000076486,acp1,23,protein_coding"
"681","ENSDARG00000045959,csf3r,16,protein_coding"
"682","ENSDARG00000034600,tmem165,20,protein_coding"
"683","ENSDARG00000034309,cox10,12,protein_coding"
"684","ENSDARG00000043548,atg4da,1,protein_coding"
"685","ENSDARG00000058557,il11b,19,protein_coding"
"686","ENSDARG00000058978,BEND2,23,protein_coding"
"687","ENSDARG00000054446,ccdc43,3,protein_coding"
"688","ENSDARG00000038011,cyth4a,3,protein_coding"
"689","ENSDARG00000039577,ptk2bb,20,protein_coding"
"690","ENSDARG00000039458,lhx4,8,protein_coding"
"691","ENSDARG00000055463,lrit3a,14,protein_coding"
"692","ENSDARG00000057708,PHTF1,11,protein_coding"
"693","ENSDARG00000044808,slc4a4b,21,protein_coding"
"694","ENSDARG00000040396,bcl7bb,18,protein_coding"
"695","ENSDARG00000031745,zgc:103599,8,protein_coding"
"696","ENSDARG00000035558,gps2,5,protein_coding"
"697","ENSDARG00000011973,slc35d1a,6,protein_coding"
"698","ENSDARG00000041623,mt2,18,protein_coding"
"699","ENSDARG00000054848,pdk4,19,protein_coding"
"700","ENSDARG00000041776,ndst3,1,protein_coding"
"701","ENSDARG00000042440,p2rx7,8,protein_coding"
"702","ENSDARG00000036040,atg13,7,protein_coding"
"703","ENSDARG00000094646,dyrk2,4,protein_coding"
"704","ENSDARG00000006094,igf2r,20,protein_coding"
"705","ENSDARG00000058672,NUGGC,,"
"706","ENSDARG00000043334,ccdc6a,17,protein_coding"
"707","ENSDARG00000041081,suv420h1,18,protein_coding"
"708","ENSDARG00000056874,lygl1,14,protein_coding"
"709","ENSDARG00000075793,prex1,8,protein_coding"
"710","ENSDARG00000036073,cebpg,7,protein_coding"
"711","ENSDARG00000044212,CR735126.1,19,protein_coding"
"712","ENSDARG00000054616,cldni,3,protein_coding"
"713","ENSDARG00000040295,apoeb,16,protein_coding"
"714","ENSDARG00000054389,rhof,10,protein_coding"
"715","ENSDARG00000036645,rcbtb1,1,protein_coding"
"716","ENSDARG00000052690,arrdc3a,5,protein_coding"
"717","ENSDARG00000057167,eif4g2b,18,protein_coding"
"718","ENSDARG00000040280,FAM84B,,"
"719","ENSDARG00000070957,im:7160594,24,protein_coding"
"720","ENSDARG00000029445,EIF1B,24,protein_coding"
"721","ENSDARG00000035459,spns3,5,protein_coding"
"722","ENSDARG00000059049,FCER2,19,protein_coding"
"723","ENSDARG00000036852,DXO,3,protein_coding"
"724","ENSDARG00000037845,col9a3,23,protein_coding"
"725","ENSDARG00000035330,taf1,5,protein_coding"
"726","ENSDARG00000055120,ctsba,17,protein_coding"
"727","ENSDARG00000088641,grn2,19,protein_coding"
"728","ENSDARG00000042456,MAD2L2,8,protein_coding"
"729","ENSDARG00000058771,nav1b,6,protein_coding"
"730","ENSDARG00000053005,cd22,16,protein_coding"
"731","ENSDARG00000036082,tph1b,7,protein_coding"
"732","ENSDARG00000037190,TRIM29,,"
"733","ENSDARG00000043447,gpr55a,15,protein_coding"
"734","ENSDARG00000038858,setd7,14,protein_coding"
"735","ENSDARG00000058257,slc39a1,7,protein_coding"
"736","ENSDARG00000055504,CD68,7,protein_coding"
"737","ENSDARG00000036637,arl11,1,protein_coding"
"738","ENSDARG00000046054,SLC27A3,10,protein_coding"
"739","ENSDARG00000039535,dapp1,13,protein_coding"
"740","ENSDARG00000056200,abcb9,5,protein_coding"
"741","ENSDARG00000054778,pogza,19,protein_coding"
"742","ENSDARG00000059035,porb,15,protein_coding"
"743","ENSDARG00000054031,mxd4,1,protein_coding"
"744","ENSDARG00000044513,tpst1l,21,protein_coding"
"745","ENSDARG00000034189,oxsr1a,2,protein_coding"
"746","ENSDARG00000042854,ephx1,20,protein_coding"
"747","ENSDARG00000041699,piwil1,8,protein_coding"
"748","ENSDARG00000058237,ssbp3a,2,protein_coding"
"749","ENSDARG00000045661,irf7,25,protein_coding"
"750","ENSDARG00000058270,COLGALT1,,"
"751","ENSDARG00000055338,CAPN1,,"
"752","ENSDARG00000042090,PLA2G4C,,"
"753","ENSDARG00000040265,mpdu1b,7,protein_coding"
"754","ENSDARG00000042658,acad8,15,protein_coding"
"755","ENSDARG00000059020,thap1,5,protein_coding"
"756","ENSDARG00000038123,myl9a,23,protein_coding"
"757","ENSDARG00000037517,slc35c2,23,protein_coding"
"758","ENSDARG00000087393,prr11,10,protein_coding"
"759","ENSDARG00000035596,ISCU,,"
"760","ENSDARG00000045683,ccdc87,4,protein_coding"
"761","ENSDARG00000056026,tprg1,6,protein_coding"
"762","ENSDARG00000045306,slc51a,24,protein_coding"
"763","ENSDARG00000037116,cxcl12a,13,protein_coding"
"764","ENSDARG00000040131,zfyve26,13,protein_coding"
"765","ENSDARG00000043581,gadd45aa,2,protein_coding"
"766","ENSDARG00000009142,ppp1r13bb,20,protein_coding"
"767","ENSDARG00000042925,mfng,22,protein_coding"
"768","ENSDARG00000056007,cyb5d1,7,protein_coding"
"769","ENSDARG00000044074,loxl2b,5,protein_coding"
"770","ENSDARG00000015003,arhgap4b,23,protein_coding"
"771","ENSDARG00000013207,zeb1b,12,protein_coding"
"772","ENSDARG00000038587,CU929150.1,2,protein_coding"
"773","ENSDARG00000038643,alas2,8,protein_coding"
"774","ENSDARG00000056619,arhgap42a,21,protein_coding"
"775","ENSDARG00000055759,efhd2,8,protein_coding"
"776","ENSDARG00000056396,dusp22a,18,protein_coding"
"777","ENSDARG00000055283,id2a,17,protein_coding"
"778","ENSDARG00000055760,srm,23,protein_coding"
"779","ENSDARG00000057368,rps8b,8,protein_coding"
"780","ENSDARG00000036382,ponzr6,7,protein_coding"
"781","ENSDARG00000054363,wu:fd14a06,18,protein_coding"
"782","ENSDARG00000092154,tex264a,6,protein_coding"
"783","ENSDARG00000078459,cux1a,10,protein_coding"
"784","ENSDARG00000088130,si:dkey-30c15.10,18,protein_coding"
"785","ENSDARG00000074183,DGKK,7,protein_coding"
"786","ENSDARG00000036100,eya3,19,protein_coding"
"787","ENSDARG00000012982,nf1a,15,protein_coding"
"788","ENSDARG00000078308,spry2,1,protein_coding"
"789","ENSDARG00000071671,nudt22,14,protein_coding"
"790","ENSDARG00000051746,cecr1a,25,protein_coding"
"791","ENSDARG00000057676,golga7,10,protein_coding"
"792","ENSDARG00000059116,heatr5b,13,protein_coding"
"793","ENSDARG00000041414,bmf2,20,protein_coding"
"794","ENSDARG00000068372,zgc:158427,18,protein_coding"
"795","ENSDARG00000045142,hbz,12,protein_coding"
"796","ENSDARG00000070507,trpc4a,10,protein_coding"
"797","ENSDARG00000032617,fgfrl1a,14,protein_coding"
"798","ENSDARG00000039455,tspan15,13,protein_coding"
"799","ENSDARG00000039863,lifrb,21,protein_coding"
"800","ENSDARG00000036074,cebpa,7,protein_coding"
"801","ENSDARG00000059001,pim2,8,protein_coding"
"802","ENSDARG00000041511,pex10,8,protein_coding"
"803","ENSDARG00000053890,tmem62,17,protein_coding"
"804","ENSDARG00000055075,svila,12,protein_coding"
"805","ENSDARG00000041107,cftr,18,protein_coding"
"806","ENSDARG00000053279,apln,14,protein_coding"
"807","ENSDARG00000040535,CSGALNACT1,,"
"808","ENSDARG00000063050,rc3h2,10,protein_coding"
"809","ENSDARG00000052343,spata18,20,protein_coding"
"810","ENSDARG00000060500,l2hgdh,13,protein_coding"
"811","ENSDARG00000068814,spata2l,18,protein_coding"
"812","ENSDARG00000054789,lysmd1,16,protein_coding"
"813","ENSDARG00000062216,narfl,3,protein_coding"
"814","ENSDARG00000041560,C18H16orf70,18,protein_coding"
"815","ENSDARG00000061159,gltscr1,18,protein_coding"
"816","ENSDARG00000078992,wnk1a,25,protein_coding"
"817","ENSDARG00000062954,clk2a,19,protein_coding"
"818","ENSDARG00000059906,sdc4,6,protein_coding"
"819","ENSDARG00000061717,CYTIP,9,protein_coding"
"820","ENSDARG00000017466,ncam2,9,protein_coding"
"821","ENSDARG00000068621,si:ch211-181d7.3,15,protein_coding"
"822","ENSDARG00000035607,ankle2,5,protein_coding"
"823","ENSDARG00000057286,swap70b,18,protein_coding"
"824","ENSDARG00000062518,ulk1a,8,protein_coding"
"825","ENSDARG00000074059,dlg5a,13,protein_coding"
"826","ENSDARG00000069009,si:ch211-147a11.3,8,protein_coding"
"827","ENSDARG00000004954,grna,3,protein_coding"
"828","ENSDARG00000036722,slc9a3.2,19,protein_coding"
"829","ENSDARG00000078301,C22H6orf89,22,protein_coding"
"830","ENSDARG00000062965,fam45a,13,protein_coding"
"831","ENSDARG00000069998,si:ch211-145b13.6,1,protein_coding"
"832","ENSDARG00000063309,tjp2a,10,protein_coding"
"833","ENSDARG00000062983,fbxo18,4,protein_coding"
"834","ENSDARG00000068868,nap1l4b,7,protein_coding"
"835","ENSDARG00000059680,fscn1a,3,protein_coding"
"836","ENSDARG00000060991,mief1,3,protein_coding"
"837","ENSDARG00000069735,si:ch211-5k11.6,3,protein_coding"
"838","ENSDARG00000069147,pex11b,19,protein_coding"
"839","ENSDARG00000060687,chd2,18,protein_coding"
"840","ENSDARG00000068711,crfb4,9,protein_coding"
"841","ENSDARG00000042004,nfya,11,protein_coding"
"842","ENSDARG00000078233,ctnnd1,1,protein_coding"
"843","ENSDARG00000078887,atp10d,13,protein_coding"
"844","ENSDARG00000043474,atp2b3a,8,protein_coding"
"845","ENSDARG00000074322,si:ch211-194m7.3,25,protein_coding"
"846","ENSDARG00000078014,pacsin2,4,protein_coding"
"847","ENSDARG00000079895,ehbp1l1b,10,protein_coding"
"848","ENSDARG00000038432,actr10,20,protein_coding"
"849","ENSDARG00000060072,abi3a,3,protein_coding"
"850","ENSDARG00000036818,hyal3,8,protein_coding"
"851","ENSDARG00000071724,ankha,24,protein_coding"
"852","ENSDARG00000067566,sftpbb,5,protein_coding"
"853","ENSDARG00000071017,nt5e,20,protein_coding"
"854","ENSDARG00000062873,slc2a11l,10,protein_coding"
"855","ENSDARG00000026704,ftr72,15,protein_coding"
"856","ENSDARG00000088745,,1,protein_coding"
"857","ENSDARG00000067752,pigl,5,protein_coding"
"858","ENSDARG00000008075,illr4,19,protein_coding"
"859","ENSDARG00000042151,skia,8,protein_coding"
"860","ENSDARG00000078754,gra,16,protein_coding"
"861","ENSDARG00000075331,golga4,13,protein_coding"
"862","ENSDARG00000040064,acp6,9,protein_coding"
"863","ENSDARG00000063466,rab43,11,protein_coding"
"864","ENSDARG00000059682,slc43a3a,1,protein_coding"
"865","ENSDARG00000019231,spna2,21,protein_coding"
"866","ENSDARG00000067797,spi1a,25,protein_coding"
"867","ENSDARG00000060257,zranb1a,12,protein_coding"
"868","ENSDARG00000029331,atxn7l3,3,protein_coding"
"869","ENSDARG00000019556,clcn7,3,protein_coding"
"870","ENSDARG00000021309,rhoae,6,protein_coding"
"871","ENSDARG00000079575,aff3,9,protein_coding"
"872","ENSDARG00000074849,rac1a,12,protein_coding"
"873","ENSDARG00000006566,nlk1,3,protein_coding"
"874","ENSDARG00000077249,gmip,3,protein_coding"
"875","ENSDARG00000061603,sorbs2b,14,protein_coding"
"876","ENSDARG00000060830,fam83hb,19,protein_coding"
"877","ENSDARG00000070542,mafbb,11,protein_coding"
"878","ENSDARG00000077666,evi5a,2,protein_coding"
"879","ENSDARG00000055781,ptger3,6,protein_coding"
"880","ENSDARG00000016481,ptpn2a,16,protein_coding"
"881","ENSDARG00000019930,tal1,22,protein_coding"
"882","ENSDARG00000076127,GABRB1,13,protein_coding"
"883","ENSDARG00000061691,qpctla,18,protein_coding"
"884","ENSDARG00000061796,rasgrp4,18,protein_coding"
"885","ENSDARG00000039966,prom1a,14,protein_coding"
"886","ENSDARG00000071461,igl3c3,24,processed_transcript"
"887","ENSDARG00000058366,si:dkey-222f8.3,4,protein_coding"
"888","ENSDARG00000037260,toporsa,1,protein_coding"
"889","ENSDARG00000063663,clp1,14,protein_coding"
"890","ENSDARG00000060442,tmem259,11,protein_coding"
"891","ENSDARG00000060397,hhip,1,protein_coding"
"892","ENSDARG00000069244,si:ch211-244b2.2,4,protein_coding"
"893","ENSDARG00000069966,alox5b.3,15,protein_coding"
"894","ENSDARG00000062226,ino80db,6,protein_coding"
"895","ENSDARG00000026090,adprm,12,protein_coding"
"896","ENSDARG00000044501,viml,2,protein_coding"
"897","ENSDARG00000061736,ank3a,17,protein_coding"
"898","ENSDARG00000057255,emc1,23,protein_coding"
"899","ENSDARG00000063310,oxr1b,19,protein_coding"
"900","ENSDARG00000020239,lpin1,17,protein_coding"
"901","ENSDARG00000071586,tgfbi,14,protein_coding"
"902","ENSDARG00000078142,SPAG9,,"
"903","ENSDARG00000009754,zc3h11a,11,protein_coding"
"904","ENSDARG00000069774,flot2b,15,protein_coding"
"905","ENSDARG00000087187,grip2a,8,protein_coding"
"906","ENSDARG00000060248,FGD4,,"
"907","ENSDARG00000060256,alkbh8,16,protein_coding"
"908","ENSDARG00000073756,slc12a7a,2,protein_coding"
"909","ENSDARG00000054942,lgals2a,3,protein_coding"
"910","ENSDARG00000068006,gck,8,protein_coding"
"911","ENSDARG00000067545,adam19b,14,protein_coding"
"912","ENSDARG00000069027,ADM,,"
"913","ENSDARG00000070047,rgs4,6,protein_coding"
"914","ENSDARG00000069025,si:ch211-283g2.2,5,protein_coding"
"915","ENSDARG00000078508,KCP,18,protein_coding"
"916","ENSDARG00000077052,tnrc18,3,protein_coding"
"917","ENSDARG00000020278,si:dkeyp-120h9.1,19,protein_coding"
"918","ENSDARG00000054251,pqlc3,13,protein_coding"
"919","ENSDARG00000063352,inpp4aa,9,protein_coding"
"920","ENSDARG00000069111,IKZF2,9,protein_coding"
"921","ENSDARG00000075261,timp2b,3,protein_coding"
"922","ENSDARG00000042840,eml1,17,protein_coding"
"923","ENSDARG00000079145,CABZ01077217.1,22,protein_coding"
"924","ENSDARG00000078193,si:ch211-67e16.3,9,protein_coding"
"925","ENSDARG00000060176,trmt10b,7,protein_coding"
"926","ENSDARG00000059965,camsap2b,2,protein_coding"
"927","ENSDARG00000077584,cln6a,7,protein_coding"
"928","ENSDARG00000036893,f13a1b,7,protein_coding"
"929","ENSDARG00000070441,zdhhc17,4,protein_coding"
"930","ENSDARG00000063718,vps72,19,protein_coding"
"931","ENSDARG00000067670,pomt1,5,protein_coding"
"932","ENSDARG00000068436,H3F3A,,"
"933","ENSDARG00000061338,ddx6,18,protein_coding"
"934","ENSDARG00000060937,adnp2a,16,protein_coding"
"935","ENSDARG00000077095,HIPK1,,"
"936","ENSDARG00000009594,nr1d2b,19,protein_coding"
"937","ENSDARG00000038305,VGLL3,9,protein_coding"
"938","ENSDARG00000061417,nub1,24,protein_coding"
"939","ENSDARG00000071498,fhl1a,14,protein_coding"
"940","ENSDARG00000029075,pfkfb4b,6,protein_coding"
"941","ENSDARG00000061908,mfsd12a,2,protein_coding"
"942","ENSDARG00000054973,itsn2b,17,protein_coding"
"943","ENSDARG00000078135,MRC2,3,protein_coding"
"944","ENSDARG00000089087,ba1,3,protein_coding"
"945","ENSDARG00000075192,yme1l1a,24,protein_coding"
"946","ENSDARG00000017180,npc1,2,protein_coding"
"947","ENSDARG00000071626,PTGDS,,"
"948","ENSDARG00000074732,BX682234.1,10,protein_coding"
"949","ENSDARG00000062168,tmem168b,25,protein_coding"
"950","ENSDARG00000069961,il21r.1,3,protein_coding"
"951","ENSDARG00000069662,fgf11a,7,protein_coding"
"952","ENSDARG00000070122,stk11ip,6,protein_coding"
"953","ENSDARG00000029232,FO704779.1,25,protein_coding"
"954","ENSDARG00000071506,mgat5,22,protein_coding"
"955","ENSDARG00000061062,nemp2,9,protein_coding"
"956","ENSDARG00000057577,mbtps2,24,protein_coding"
"957","ENSDARG00000061520,b4galnt1a,23,protein_coding"
"958","ENSDARG00000067795,crfb6,5,protein_coding"
"959","ENSDARG00000059634,thumpd3,6,protein_coding"
"960","ENSDARG00000061023,BORCS6,8,protein_coding"
"961","ENSDARG00000076799,rnd3a,22,protein_coding"
"962","ENSDARG00000069538,gtf3c4,21,protein_coding"
"963","ENSDARG00000070656,si:ch211-69g19.2,16,protein_coding"
"964","ENSDARG00000060322,zgc:153654,2,protein_coding"
"965","ENSDARG00000070844,gamt,11,protein_coding"
"966","ENSDARG00000070668,cd4,16,protein_coding"
"967","ENSDARG00000062362,tpcn1,5,protein_coding"
"968","ENSDARG00000023445,atp2b3b,23,protein_coding"
"969","ENSDARG00000061591,abcb10,13,protein_coding"
"970","ENSDARG00000060510,cul4b,14,protein_coding"
"971","ENSDARG00000063354,abtb1,8,protein_coding"
"972","ENSDARG00000075333,tbc1d25,8,protein_coding"
"973","ENSDARG00000045006,ptprga,11,protein_coding"
"974","ENSDARG00000034424,atp1b2b,5,protein_coding"
"975","ENSDARG00000019564,asap2b,20,protein_coding"
"976","ENSDARG00000044332,zranb2,6,protein_coding"
"977","ENSDARG00000073970,mctp2b,7,protein_coding"
"978","ENSDARG00000069066,nufip2,15,protein_coding"
"979","ENSDARG00000070098,,1,protein_coding"
"980","ENSDARG00000078824,si:ch211-66e2.3,3,protein_coding"
"981","ENSDARG00000079530,si:dkey-17m8.1,16,protein_coding"
"982","ENSDARG00000063252,prcc,19,protein_coding"
